,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,team,year
200,Kevin Unterstein,M,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,7.0,2.0,2.0,0.0,0.0,,Atlas LC,2020
201,Joel Tinney,M,5.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,2.0,2.0,0.0,0.0,,Atlas LC,2020
202,Tucker Durkin,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,,Atlas LC,2020
203,Jeremy Thompson,M,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,7.0,0.0,0.0,Atlas LC,2020
204,Jack Concannon,G,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,1.0,0.0,0.0,0.0,,Atlas LC,2020
205,Austin Pifani,D,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,12.0,3.0,4.0,0.0,0.0,,Atlas LC,2020
206,Jacob Richard,M,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,,Atlas LC,2020
207,Scott Rodgers,G,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Atlas LC,2020
208,Callum Robinson,D,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,0.0,3.0,1.0,33.3,Atlas LC,2020
209,Cade Van Raaphorst,D,5.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,4.0,0.0,0.0,,21.0,2.0,12.0,0.0,0.0,,Atlas LC,2020
210,Kyle Hartzell,D,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,,Atlas LC,2020
211,Totals,,108.0,43.0,25.0,71.0,14.5,3.0,0.0,0.0,202.0,110.0,21.3,39.1,154.0,68.0,43.0,116.0,58.0,50.0,Atlas LC,2020
212,Josh Byrne,A,7.0,13.0,7.0,20.0,1.0,1.0,0.0,0.0,44.0,28.0,29.5,46.4,8.0,8.0,6.0,0.0,0.0,,Chaos LC,2020
213,Curtis Dickson,A,7.0,12.0,6.0,18.0,0.5,0.0,0.0,0.0,43.0,25.0,27.9,48.0,7.0,4.0,1.0,0.0,0.0,,Chaos LC,2020
214,Dhane Smith,T,7.0,6.0,4.0,10.0,0.0,1.0,0.0,0.0,19.0,12.0,31.6,50.0,8.0,9.0,1.0,0.0,0.0,,Chaos LC,2020
215,Jake Froccaro,M,7.0,5.0,3.0,10.0,0.0,1.0,0.0,0.0,31.0,15.0,16.1,33.3,12.0,3.0,3.0,5.0,0.0,0.0,Chaos LC,2020
216,Sergio Salcido,M,7.0,7.0,1.0,8.0,0.5,0.0,0.0,0.0,26.0,18.0,26.9,38.9,4.0,5.0,0.0,0.0,0.0,,Chaos LC,2020
217,Connor Fields,A,6.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,19.0,10.0,31.6,60.0,5.0,10.0,0.0,0.0,0.0,,Chaos LC,2020
218,Austin Staats,F,7.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,12.0,10.0,41.7,50.0,2.0,7.0,0.0,0.0,0.0,,Chaos LC,2020
219,Miles Thompson,A,7.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,11.0,10.0,36.4,40.0,0.0,5.0,0.0,0.0,0.0,,Chaos LC,2020
220,Eric Scott,M,7.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,16.0,11.0,12.5,18.2,4.0,3.0,1.0,0.0,0.0,,Chaos LC,2020
221,Patrick Resch,F,7.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,100.0,100.0,8.0,2.0,2.0,0.0,0.0,,Chaos LC,2020
222,Kevin Buchanan,"A,M",7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,22.2,33.3,2.0,1.0,0.0,0.0,0.0,,Chaos LC,2020
223,Troy Reh,M,7.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,33.3,50.0,17.0,4.0,2.0,1.0,0.0,0.0,Chaos LC,2020
224,Mark Glicini,M,7.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,4.0,2.0,25.0,50.0,11.0,0.0,3.0,0.0,0.0,,Chaos LC,2020
225,Jason Noble,D,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,4.0,3.0,5.0,0.0,0.0,,Chaos LC,2020
226,Tyson Bell,D,7.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,7.0,0.0,2.0,0.0,0.0,,Chaos LC,2020
227,Thomas Kelly,FO,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,,23.0,5.0,0.0,157.0,59.0,37.6,Chaos LC,2020
228,Johnny Surdick,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Chaos LC,2020
229,Jack Rowlett,D,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,,8.0,1.0,9.0,4.0,0.0,0.0,Chaos LC,2020
230,Dillon Ward,G,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Chaos LC,2020
231,Dan Coates,D,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,1.0,6.0,0.0,0.0,,Chaos LC,2020
232,Blaze Riorden,"F,G",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,,Chaos LC,2020
233,Jarrod Neumann,D,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,16.0,6.0,7.0,0.0,0.0,,Chaos LC,2020
234,Matt Rees,D,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,17.0,3.0,3.0,0.0,0.0,,Chaos LC,2020
235,Totals,,153.0,67.0,32.0,102.0,14.0,4.0,0.0,0.0,255.0,157.0,26.3,42.7,179.0,85.0,52.0,167.0,59.0,35.3,Chaos LC,2020
236,Jordan Wolf,A,5.0,10.0,8.0,18.0,0.0,1.0,0.0,0.0,32.0,20.0,31.3,50.0,11.0,8.0,1.0,0.0,0.0,,Chrome LC,2020
237,Justin Guterding,A,5.0,10.0,6.0,16.0,0.0,0.0,0.0,0.0,32.0,21.0,31.3,47.6,5.0,8.0,2.0,0.0,0.0,,Chrome LC,2020
238,Jesse King,F,5.0,8.0,2.0,10.0,0.0,2.0,0.0,0.0,19.0,12.0,42.1,66.7,3.0,4.0,0.0,0.0,0.0,,Chrome LC,2020
239,Ned Crotty,A,4.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,11.0,4.0,27.3,75.0,3.0,7.0,0.0,0.0,0.0,,Chrome LC,2020
240,Jordan Macintosh,M,5.0,8.0,1.0,9.0,0.0,1.0,0.0,0.0,22.0,13.0,36.4,61.5,7.0,5.0,2.0,0.0,0.0,,Chrome LC,2020
241,Matt Gaudet,A,5.0,8.0,0.0,8.0,0.0,2.0,0.0,0.0,16.0,9.0,50.0,88.9,2.0,2.0,2.0,0.0,0.0,,Chrome LC,2020
242,John Ranagan,M,5.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,18.0,9.0,22.2,44.4,2.0,5.0,0.0,0.0,0.0,,Chrome LC,2020
243,Sam Duggan,M,5.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,3.0,60.0,100.0,10.0,1.0,2.0,0.0,0.0,,Chrome LC,2020
244,Will Haus,M,5.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,75.0,75.0,9.0,4.0,2.0,0.0,0.0,,Chrome LC,2020
245,Eli Salama,D,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,25.0,50.0,5.0,0.0,2.0,0.0,0.0,,Chrome LC,2020
246,Brendan Kavanagh,M,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,11.1,33.3,5.0,3.0,1.0,0.0,0.0,,Chrome LC,2020
247,Mike Manley,D,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,20.0,100.0,13.0,4.0,5.0,0.0,0.0,,Chrome LC,2020
248,Reece Eddy,LSM,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,50.0,50.0,13.0,2.0,5.0,0.0,0.0,,Chrome LC,2020
249,James Barclay,D,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,,Chrome LC,2020
250,Connor Farrell,F,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,8.0,0.0,116.0,72.0,62.1,Chrome LC,2020
251,Brett Queener,"G,F",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,Chrome LC,2020
252,Hunter Forbes,F,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,1.0,18.0,4.0,22.2,Chrome LC,2020
253,John Galloway,G,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,6.0,2.0,1.0,0.0,0.0,,Chrome LC,2020
254,Donny Moss,"M,D",5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,,Chrome LC,2020
255,Jake Pulver,D,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,4.0,0.0,0.0,,Chrome LC,2020
256,Jesse Bernhardt,D,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,3.0,4.0,0.0,0.0,,Chrome LC,2020
257,Justin Turri,M,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Chrome LC,2020
258,Totals,,109.0,61.0,32.0,96.0,14.0,6.0,0.0,0.0,190.0,109.0,32.1,56.0,157.0,67.0,37.0,134.0,76.0,56.7,Chrome LC,2020
259,Ryder Garnsey,M,6.0,10.0,6.0,16.0,4.5,0.0,0.0,0.0,38.0,26.0,26.3,38.5,12.0,8.0,2.0,0.0,0.0,,Redwoods LC,2020
260,Sergio Perkovic,M,6.0,9.0,0.0,15.0,0.0,1.0,0.0,0.0,35.0,25.0,25.7,36.0,5.0,8.0,1.0,0.0,0.0,,Redwoods LC,2020
261,Myles Jones,M,6.0,6.0,5.0,13.0,1.5,3.0,0.0,0.0,30.0,18.0,20.0,33.3,7.0,10.0,1.0,0.0,0.0,,Redwoods LC,2020
262,Matt Kavanagh,A,6.0,7.0,4.0,11.0,0.0,1.0,0.0,0.0,24.0,16.0,29.2,43.8,6.0,8.0,2.0,0.0,0.0,,Redwoods LC,2020
263,Clarke Petterson,F,6.0,5.0,4.0,9.0,0.5,3.0,0.0,0.0,22.0,13.0,22.7,38.5,9.0,2.0,1.0,0.0,0.0,,Redwoods LC,2020
264,Joe Walters,"M,A",6.0,3.0,5.0,9.0,1.0,1.0,0.0,0.0,13.0,8.0,23.1,37.5,1.0,7.0,0.0,0.0,0.0,,Redwoods LC,2020
265,Brent Adams,"M,D",6.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,30.0,17.0,16.7,29.4,12.0,7.0,2.0,0.0,0.0,,Redwoods LC,2020
266,Brendan Gleason,A,6.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,30.0,75.0,3.0,3.0,0.0,0.0,0.0,,Redwoods LC,2020
267,Kyle Harrison,M,6.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,2.0,22.2,100.0,2.0,2.0,0.0,0.0,0.0,,Redwoods LC,2020
